chrom	chromStart	chromEnd
chr1	122026460	125184587
chr2	92188146	94090557
chr3	90772459	93655574
chr4	49708101	51743951
chr5	46485901	50059807
chr6	58553889	59829934
chr7	58169654	60828234
chr8	44033745	45877265
chr9	43236168	45518558
chrX	58605580	62412542
chrY	10316945	10544039
chr10	39686683	41593521
chr11	51078349	54425074
chr12	34769408	37185252
chr13	16000001	18051248
chr14	16000001	18173523
chr15	17000001	19725254
chr16	36311159	38280682
chr17	22813680	26885980
chr18	15460900	20861206
chr19	24498981	27190874
chr20	26436233	30038348
chr21	10864561	12915808
chr22	12954789	15054318
